02:48:08 START 39  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001}
02:48:28 ENDED 58  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001} (0.6952816097003778)
02:48:28 START 59  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001}
02:55:32 ENDED 6   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001} (0.34592742289781214)
02:55:32 START 7   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001}
03:03:32 ENDED 26  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001} (0.4794354226741539)
03:03:32 START 27  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001}
03:05:53 ENDED 22  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001} (0.41762586767419385)
03:05:53 START 23  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001}
03:14:19 ENDED 54  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001} (0.7024626370905257)
03:14:19 START 55  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001}
04:06:34 ENDED 70  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001} (0.3890135872386993)
04:06:34 START 71  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001}
04:20:11 ENDED 47  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001} (0.5174972641803325)
04:20:11 START 48  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001}
04:24:33 ENDED 35  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001} (0.44011949740796064)
04:24:33 START 36  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001}
04:30:53 ENDED 15  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001} (0.40228930194662554)
04:30:53 START 16  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001}
04:37:47 ENDED 11  / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001} (0.39829540462173796)
04:37:47 START 12  / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001}
